joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,joint6output_to_joint6
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549
-0.0004447527354982332,0.008482947530464613,0.08519395570522145,-0.09293593221152555,-0.00044552127919864895,-0.0004775669306739
-0.0004281874709963115,0.01742721306092938,0.17084922941044306,-0.18541054642305094,-0.000429724558397143,-0.0004938158613476451
-0.0004116222064943899,0.02637147859139415,0.25650450311566464,-0.2778851606345763,-0.0004139278375956371,-0.0005100647920213902
-0.0003950569419924682,0.035315744121858915,0.3421597768208863,-0.3703597748461017,-0.00039813111679413114,-0.0005263137226951353
-0.0003784916774905465,0.044260009652323684,0.42781505052610785,-0.4628343890576271,-0.00038233439599262526,-0.0005425626533688804
-0.00036192641298862484,0.05320427518278845,0.5134703242313294,-0.5553090032691524,-0.00036653767519111933,-0.0005588115840426256
-0.0003453611484867032,0.06214854071325321,0.5991255979365511,-0.6477836174806778,-0.0003507409543896134,-0.0005750605147163706
-0.00032879588398478153,0.07109280624371798,0.6847808716417727,-0.7402582316922033,-0.00033494423358810746,-0.0005913094453901158
-0.00031223061948285985,0.08003707177418275,0.7704361453469942,-0.8327328459037285,-0.0003191475127866016,-0.0006075583760638608
-0.00029566535498093817,0.08898133730464752,0.8560914190522159,-0.925207460115254,-0.00030335079198509564,-0.000623807306737606
-0.00027910009047901654,0.09792560283511229,0.9417466927574375,-1.0176820743267794,-0.0002875540711835897,-0.0006400562374113511
-0.0002625348259770948,0.10686986836557706,1.027401966462659,-1.1101566885383047,-0.0002717573503820838,-0.0006563051680850962
-0.0002459695614751732,0.11581413389604182,1.1130572401678807,-1.20263130274983,-0.00025596062958057784,-0.0006725540987588413
