joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,joint6output_to_joint6,joint2_to_joint1_vel,joint3_to_joint2_vel,joint4_to_joint3_vel,joint5_to_joint4_vel,joint6_to_joint5_vel,joint6output_to_joint6_vel
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,0.0,0.0,0.0,0.0,0.0,0.0
-0.0502899042139994,-0.07235907227681516,-0.050031747752029454,0.0034369820891808883,-0.0004957336998166915,-0.000516002189351437,-0.22399826440699444,-0.323207487838426,-0.22283775386835764,0.017524327308103674,-0.00015471153434191712,-0.0002458260295121369
-0.10011849042799864,-0.14425682655363017,-0.09960217750405875,0.007335282178361931,-0.0005301493996332281,-0.0005706863787027191,-0.3617562687487281,-0.5219787534587164,-0.3598820490380878,0.028301715980229153,-0.00024985848682394985,-0.0003970080189373491
-0.14994707664199788,-0.21615458083044517,-0.14917260725608805,0.011233582267542975,-0.0005645650994497648,-0.0006253705680540012,-0.44087722193025913,-0.6361425153114437,-0.4385930852042471,0.03449168126479499,-0.00030450589267647224,-0.00048383900320110086
-0.19977566285599713,-0.2880523351072602,-0.19874303700811735,0.015131882356724018,-0.0005989807992663014,-0.0006800547574052833,-0.5053202452985883,-0.7291274665418974,-0.5027022363081702,0.03953333030265739,-0.0003490155188976421,-0.0005545617501220795
-0.24960424906999637,-0.3599500893840752,-0.24831346676014665,0.01903018244590506,-0.0006333964990828379,-0.0007347389467565655,-0.5601301162916873,-0.8082127253465837,-0.5572281433470074,0.04382133727244718,-0.0003868717016715301,-0.0006147126312013399
-0.2994328352839956,-0.4318478436608902,-0.29788389651217595,0.022928482535086104,-0.0006678121988993746,-0.0007894231361078475,-0.6126060589751969,-0.8839303549076489,-0.6094322139038721,0.047926751204209736,-0.000423115882536491,-0.0006723021516779589
-0.34926142149799483,-0.5037455979377051,-0.34745432626420525,0.026826782624267142,-0.0007022278987159112,-0.0008441073254591297,-0.6184872589559436,-0.8924163486553456,-0.6152829440299725,0.04838686223989061,-0.000427177920584874,-0.0006787564518657811
-0.3990900077119941,-0.5756433522145202,-0.39702475601623455,0.03072508271344819,-0.0007366435985324478,-0.0008987915148104118,-0.5713887316291498,-0.8244578011260503,-0.568428429028282,0.04470214615162334,-0.00039464782287512766,-0.0006270683550884865
-0.4489185939259933,-0.6475411064913352,-0.44659518576826385,0.03462338280262923,-0.0007710592983489843,-0.0009534757041616939,-0.5171757473217211,-0.7462337911650112,-0.5144963162703997,0.04046083614028198,-0.0003572038988980333,-0.0005675725249954265
-0.4987471801399926,-0.7194388607681502,-0.49616561552029315,0.03852168289181027,-0.000805474998165521,-0.001008159893512976,-0.44950416978805413,-0.6485903534775683,-0.4471753377875867,0.03516660371711927,-0.00031046436893208355,-0.0004933066137841756
-0.5485757663539917,-0.7913366150449652,-0.5457360452723224,0.04241998298099132,-0.0008398906979820576,-0.001062844082864258,-0.36194273094764984,-0.5222478000919565,-0.3600675451967258,0.028316303703098997,-0.00024998727287936116,-0.0003972126511568719
-0.5984043525679911,-0.8632343693217802,-0.5953064750243517,0.04631828307017236,-0.0008743063977985942,-0.00111752827221554,-0.22194191495273505,-0.3202403776110826,-0.22079205813598785,0.017363450432598918,-0.00015329125110867913,-0.00024356929675142385
-0.6482329387819903,-0.9351321235985952,-0.644876904776381,0.0502165831593534,-0.0009087220976151309,-0.0011722124615668223,0.0,0.0,0.0,0.0,0.0,0.0
-0.6482329387819903,-0.9351321235985952,-0.644876904776381,0.0502165831593534,-0.0009087220976151309,-0.0011722124615668223,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480933270102683,-0.9339015439369583,-0.648101221078642,0.05293593087722586,-0.0004610060953037419,-0.0004615581178565905,0.00027567595443065367,0.00139857850953784,-0.15378876449765802,0.14615345090018558,0.0008839985108166143,0.001403233426292639
-0.6480933220740615,-0.9345561277816715,-0.7416778469733168,0.1422989203760283,-0.000461026355903677,-0.0004615439472657647,2.3457173878193478e-08,-0.03656993593991945,-0.3824336918592466,0.3958747005340754,-9.581493956066635e-08,6.780349874690968e-08
-0.6480933171362039,-0.94574735400678,-0.8156835590291265,0.2226276384159722,-0.0004610464769310975,-0.0004615296258415837,3.419710649212421e-08,-0.10832163950825555,-0.45589856896007175,0.5305415121031433,-1.3884765066452639e-07,9.948146719758935e-08
-0.6480933121885523,-0.965195105918307,-0.8747050485554783,0.29622865961282685,-0.00046106650415499314,-0.00046151519624632335,3.9871844617484866e-08,-0.18655871005245345,-0.42093874521997676,0.5683071628969598,-1.6081734225866687e-07,1.1662547592038299e-07
-0.6480933072311249,-0.99160702239125,-0.9211450516841255,0.3642123589732065,-0.00046108643703360086,-0.0004615006589575529,4.1557914699167795e-08,-0.24599354601900864,-0.3436006428437953,0.5488230107558305,-1.6655092461441127e-07,1.2218484028279998e-07
-0.6480933022639538,-1.024115150724388,-0.9564391686826195,0.42714638406357847,-0.00046110627494509704,-0.0004614860145824856,4.065347828359724e-08,-0.2882470858267013,-0.24640737901998522,0.49484995314488006,-1.618099081890015e-07,1.2017577820626445e-07
-0.6480932972870715,-1.0620860893735207,-0.981470547100924,0.4852804808897523,-0.00046112601727201684,-0.0004614712637328641,3.6706444843206086e-08,-0.2960228695668802,-0.15274741364086064,0.4128961324582897,-1.451685699472866e-07,1.0904481631412815e-07
-0.6480932923005084,-1.105030593181021,-0.9967745402947162,0.5386607576497782,-0.0004611456634008696,-0.00046145640702293706,3.787502969963914e-08,-0.3456634484574502,-0.0752907128631026,0.3840187610529857,-1.4863713684513684e-07,1.1317390996350225e-07
-0.6480932873042954,-1.1525604509490701,-1.002644808297059,0.5871926631788092,-0.00046116521272203544,-0.0004614414450708829,4.524698086388046e-08,-0.4502161567662629,-0.00907652918180719,0.4152490826761033,-1.7640619251479648e-07,1.3585709736381167e-07
-0.6480932822984625,-1.2043711561584152,-0.999186090353479,0.6306764302031198,-0.00046118466463041836,-0.0004614263784973027,4.9130217294136886e-08,-0.528637346576266,0.08168491113938908,0.399220250604392,-1.902247168933812e-07,1.4825435318582297e-07
-0.6480932772830402,-1.2602411659030848,-0.9863322844089593,0.6688244137619497,-0.0004612040185243962,-0.00046141120792653515,4.776593120951743e-08,-0.5490501640265846,0.16503166604761538,0.33769560672643756,-1.8372246154745228e-07,1.44811497588455e-07
-0.6480932722580572,-1.3200445052818923,-0.9638355600196242,0.7012628085100088,-0.0004612232738068806,-0.0004613959339853423,4.5626539843785784e-08,-0.56072166745358,0.25101453954010555,0.26554683546027796,-1.742069305076372e-07,1.3902878878724141e-07
-0.648093267223543,-1.3837777820679824,-0.9312230390942857,0.7275153441290717,-0.0004612424298843758,-0.00046138055730451715,4.44157178853647e-08,-0.5788685458225431,0.332970862822094,0.20298740297837964,-1.6843218403670457e-07,1.3596186912645187e-07
-0.6480932621795261,-1.451608119333895,-0.8877061089213815,0.7469605309805725,-0.00046126148616784836,-0.00046136507851841707,4.254347108403209e-08,-0.5907941349372523,0.4185088516778377,0.13126344743694388,-1.6015001973480387e-07,1.308628063915648e-07
-0.6480932571260346,-1.5239590698407468,-0.832005105272828,0.7587422575973164,-0.0004612804420722666,-0.00046134949826277403,3.7462809201485955e-08,-0.5528625307147976,0.45773323971547414,0.059068654478672336,-1.4009462466832975e-07,1.1572656926865716e-07
-0.6480932520630959,-1.6016777816341097,-0.7619962389597682,0.7615838828357906,-0.0004612992970165949,-0.0004613338171772849,2.1951707070993014e-08,-0.34506328000626113,0.3246913212942649,-0.0007248161098290396,-8.158952220418966e-08,6.807320100857861e-08
-0.6480932469907368,-1.6864060330629367,-0.6739176614488509,0.7533653365121898,-0.0004613180504240096,-0.00046131803590447417,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480932469907368,-1.6864060330629367,-0.6739176614488509,0.7533653365121898,-0.0004613180504240096,-0.00046131803590447417,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480932469907368,-1.6864060330629367,-0.6739176614488509,0.7533653365121898,-0.0004613180504240096,-0.00046131803590447417,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480932469916395,-1.6130372511263795,-0.7342294766347827,0.7426496896689999,-0.00046131804581082557,-0.0004613180327604038,-6.165558597227798e-12,0.4851349212450755,-0.3661417061029182,-0.1028880597859535,3.1706868733554754e-11,2.1725180062591925e-11
-0.6480932469925288,-1.5456401966769024,-0.7796540819205117,0.7230185604147739,-0.00046131804120548765,-0.00046131802958633686,-6.8640931805816834e-12,0.5013168038410282,-0.29622512467134016,-0.18687628783618462,3.580656135926627e-11,2.4797909559440452e-11
-0.648093246993406,-1.483352808401409,-0.8123928964419002,0.6958113065696219,-0.0004613180366052117,-0.00046131802638924566,-7.71326805452471e-12,0.5309448500712328,-0.2400142767988345,-0.270199929207335,4.07097645182506e-11,2.8406412902074894e-11
-0.6480932469942708,-1.4257958319102328,-0.8336611864148367,0.6618639399606199,-0.00046131803201005477,-0.00046131802316948386,-7.873022019348873e-12,0.5055570320748743,-0.14298934641802216,-0.3410961744946801,4.2115642003980345e-11,2.963815475632592e-11
-0.6480932469951236,-1.3728578193195038,-0.8441376104440719,0.6217436713083637,-0.0004613180274201019,-0.00046131801992676646,-8.129588955051798e-12,0.48568383039169905,-0.050490380158037904,-0.4127217309490456,4.4027960223866623e-11,3.12324069228438e-11
-0.6480932469959648,-1.324613505200455,-0.8441284918314175,0.5758315584856135,-0.00046131802283556965,-0.0004613180166611812,-8.031745045278525e-12,0.44002870360974355,0.05083574863328779,-0.4683545080208079,4.405040934033631e-11,3.149892336095617e-11
